source_id,relative_path,filename,extension,media_type,size_bytes,sha256,role,readability_status,extraction_status,probable_title,probable_author,language,duplicate_group,issue_codes,notes
SRC-b36a45378ded7b52,.github/workflows/article-corpus-final.yml,article-corpus-final.yml,.yml,application/octet-stream,5259,7d7378a27295542faa793670f9cae7d48fc3aee2b27603f601c387e58deb0f5d,مدیریتی,خوانا,موفق,name: Build Final Article Corpus,,انگلیسی,,INSUFFICIENT_METADATA,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. مؤلف به‌طور صریح در نمونه متن شناسایی نشد.
SRC-331818e913a133e1,.github/workflows/article-source-bootstrap.yml,article-source-bootstrap.yml,.yml,application/octet-stream,2410,4221cd2af88d75d3a8c867245ac1c7d0500ab92dbcb7f18eb43ed5a3474aa1d4,مدیریتی,خوانا,موفق,name: Article Source Bootstrap,,انگلیسی,,INSUFFICIENT_METADATA,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. مؤلف به‌طور صریح در نمونه متن شناسایی نشد.
SRC-bc37d034bad56458,.gitignore,.gitignore,.gitignore,application/octet-stream,22,8a54d7c78bafb56933057c3aa53aa00982ccb1c97f967c4b59aa8c3a2fab3008,مدیریتی,خوانا,موفق,data/,,انگلیسی,,INSUFFICIENT_METADATA,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. مؤلف به‌طور صریح در نمونه متن شناسایی نشد.
SRC-217dbc9626c4176e,BOOK02_ORIGINAL_EXTRACT.md,BOOK02_ORIGINAL_EXTRACT.md,.md,text/markdown,5258,cbcac5310fef1a43149fcce98dc90ec39a95daf1a156ac6e5ba0e32b55c2c10c,فایل ماهوی,خوانا,موفق,BOOK-02 Original — Budgeting Review Extract,,فارسی و انگلیسی,DUP-001,INSUFFICIENT_METADATA,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. مؤلف به‌طور صریح در نمونه متن شناسایی نشد. همسانی بایتی با اعضای گروه تکرار به کمک SHA-256 اثبات شد.
SRC-0f4ef4ad5e88b50d,CHAPTER05_MACHINE_VS_ORIGINAL.md,CHAPTER05_MACHINE_VS_ORIGINAL.md,.md,text/markdown,6187,3ed871bdd33ed7efa3a6ed1075dedec9b9467e50cb3113e8217e7850f8073b5a,نیازمند بررسی,خوانا,موفق,Chapter 05 — Opening Prose Comparison,,فارسی و انگلیسی,,INSUFFICIENT_METADATA,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. مؤلف به‌طور صریح در نمونه متن شناسایی نشد.
SRC-dd3eccd4ca376c35,CHAPTER05_REVIEW_README.md,CHAPTER05_REVIEW_README.md,.md,text/markdown,648,195c549ed15bc83905e0dd384aae300ab23aff1d439adb543230908701b7b6d2,مدیریتی,خوانا,موفق,Chapter 05 Review — OPEN HERE,,فارسی و انگلیسی,,INSUFFICIENT_METADATA,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. مؤلف به‌طور صریح در نمونه متن شناسایی نشد.
SRC-21176d94b62a304c,PROJECT_STATE.md,PROJECT_STATE.md,.md,text/markdown,2796,854a80c37b5098974d7b797eb608d61a4bbca25f36a7e97dc1e4e07f2e95fef1,مدیریتی,خوانا,موفق,Project State,,انگلیسی,,INSUFFICIENT_METADATA,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. مؤلف به‌طور صریح در نمونه متن شناسایی نشد.
SRC-b335630551682c19,README.md,README.md,.md,text/markdown,18,606867276324744d2d901750f67550e052ee9d8c6213aa1f6c694e4188f3cad3,مدیریتی,خوانا,موفق,Book_Production,,انگلیسی,,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. مؤلف به‌طور صریح در نمونه متن شناسایی نشد. نام مشابه فقط نامزد بررسی تکرار است و همسانی بایتی ندارد.
SRC-987e747cb0bb5347,book/01_money_and_me/01_source.docx,01_source.docx,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,174063,95cefc299f2c1bea76073e9a327d718601a4d8f651ae3060c3daa12851c828e5,فایل ماهوی,خوانا,موفق,Money and Me,Komeil Roudi,انگلیسی,,NAME_SIMILAR_CANDIDATE,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. نام مشابه فقط نامزد بررسی تکرار است و همسانی بایتی ندارد.
SRC-e3c7a4eb8e323372,book/01_money_and_me/02_final.docx,02_final.docx,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,268233,3574d4efb367eb4dcfcc3d8bda1847d72ed7dfbdc1f22c5ba2ef6c011fd9830d,فایل ماهوی,خوانا,موفق,پول و من,کمیل رودی (Komeil Roudi),فارسی,,NAME_SIMILAR_CANDIDATE,عنوان احتمالی از نخستین سطر معنادار یا نام فایل گرفته شده است. نام مشابه فقط نامزد بررسی تکرار است و همسانی بایتی ندارد.
