queue_order,source_id,relative_path,sha256,work_family,edition_status,suggested_locator_type,source_position_rule
0001,SRC-987e747cb0bb5347,book/01_money_and_me/01_source.docx,95cefc299f2c1bea76073e9a327d718601a4d8f651ae3060c3daa12851c828e5,کتاب/01_money_and_me,نسخه اصلی مکمل,بند,شماره بند DOCX از ابتدای word/document.xml حفظ شود.
0002,SRC-e3c7a4eb8e323372,book/01_money_and_me/02_final.docx,3574d4efb367eb4dcfcc3d8bda1847d72ed7dfbdc1f22c5ba2ef6c011fd9830d,کتاب/01_money_and_me,نسخه مرجع پذیرفته‌شده,عنوان بخش و بند,عنوان، شماره بند DOCX و ترتیب سند هم‌زمان حفظ شود.
0003,SRC-822927baf8baa512,book/02_savad_mali_baraye_hame/01_source.docx,242a8541432833984592c0c315b157a63a14404bb4d6953468e2777cc66960bd,کتاب/02_savad_mali_baraye_hame,نسخه اصلی مکمل,بند,شماره بند DOCX از ابتدای word/document.xml حفظ شود.
0004,SRC-5f32a087e3b0c1b3,book/02_savad_mali_baraye_hame/02_final.docx,c356cebbda0a73a05e6de9dc2b84b7de0c9a160e3c4d9aca94d8e80ac9cda14e,کتاب/02_savad_mali_baraye_hame,نسخه مرجع پذیرفته‌شده,عنوان بخش و بند,عنوان، شماره بند DOCX و ترتیب سند هم‌زمان حفظ شود.
0005,SRC-b9877698b9bd72b3,book/03_trainer_financial_literacy/01_source.docx,cc59e7e0586fab9e431c0bf96f837e6aeebb3563391cbe4bef823f6508afb19f,کتاب/03_trainer_financial_literacy,نسخه اصلی مکمل,بند,شماره بند DOCX از ابتدای word/document.xml حفظ شود.
0006,SRC-942281047f765bd6,book/03_trainer_financial_literacy/02_final.docx,3e4096c998ce24d64b4f61ddf80b3150c4a93605e5273f84b5c8bc0f1ed04294,کتاب/03_trainer_financial_literacy,نسخه مرجع پذیرفته‌شده,عنوان بخش و بند,عنوان، شماره بند DOCX و ترتیب سند هم‌زمان حفظ شود.
0007,SRC-6ec2f4a1940b8fa5,final/asre_shirin/season-1/episode-01.md,20cf712339d1abceb646f2f50b43ff7826ebd046871a3124e1129ba0f8ed1013,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0008,SRC-c9eec26944767da1,final/asre_shirin/season-1/episode-02.md,2237c8e374b319221fde7d8a8aed32f0506103398d6e4c46f86925328273b5c5,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0009,SRC-7ae84b70ca3619d8,final/asre_shirin/season-1/episode-03.md,7db1ebab113ada8284606ab7c5bd7e4b073f0a8231a9870137d630019e0d095c,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0010,SRC-aceafcf371c140e1,final/asre_shirin/season-1/episode-04.md,b4541605f8b3930c820cafe70b8dd68765ce630549cc0c59b8b1273da5fa2066,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
