source_id,relative_path,sha256,confirmed_role,work_family,edition_status,segmentation_eligibility,metadata_status,decision_basis,evidence_locator,review_status,issue_codes
SRC-b36a45378ded7b52,.github/workflows/article-corpus-final.yml,7d7378a27295542faa793670f9cae7d48fc3aee2b27603f601c387e58deb0f5d,مدیریتی,خودکارسازی پیکره,گردش‌کار فنی,غیرواجد,قابل استنتاج از شواهد داخلی,فایل تعریف گردش‌کار ساخت/ممیزی است.,.github/workflows/article-corpus-final.yml:1,تأییدشده,INSUFFICIENT_METADATA
SRC-331818e913a133e1,.github/workflows/article-source-bootstrap.yml,4221cd2af88d75d3a8c867245ac1c7d0500ab92dbcb7f18eb43ed5a3474aa1d4,مدیریتی,خودکارسازی پیکره,گردش‌کار فنی,غیرواجد,قابل استنتاج از شواهد داخلی,فایل تعریف گردش‌کار ساخت/ممیزی است.,.github/workflows/article-source-bootstrap.yml:1,تأییدشده,INSUFFICIENT_METADATA
SRC-bc37d034bad56458,.gitignore,8a54d7c78bafb56933057c3aa53aa00982ccb1c97f967c4b59aa8c3a2fab3008,مدیریتی,راهبری مخزن,اطلاعات مخزن,غیرواجد,قابل استنتاج از شواهد داخلی,محتوا معرفی کوتاه مخزن یا قاعده نادیده‌گیری داده تولیدی است.,.gitignore:1,تأییدشده,INSUFFICIENT_METADATA
SRC-217dbc9626c4176e,BOOK02_ORIGINAL_EXTRACT.md,cbcac5310fef1a43149fcce98dc90ec39a95daf1a156ac6e5ba0e32b55c2c10c,مواد بازبینی,بازبینی انسانی فصل ۵,مشتق غیرمرجع از اصل کتاب ۲,غیرواجد,قابل استنتاج از شواهد داخلی,خود فایل Status=DERIVED_HUMAN_REVIEW_MATERIAL / NOT_CANONICAL_SOURCE دارد.,BOOK02_ORIGINAL_EXTRACT.md:3-11,تأییدشده,INSUFFICIENT_METADATA
SRC-0f4ef4ad5e88b50d,CHAPTER05_MACHINE_VS_ORIGINAL.md,3ed871bdd33ed7efa3a6ed1075dedec9b9467e50cb3113e8217e7850f8073b5a,مواد بازبینی,بازبینی انسانی فصل ۵,متن کاری غیرمرجع,غیرواجد,قابل استنتاج از شواهد داخلی,خود فایل Status=HUMAN_REVIEW_WORKING_MATERIAL دارد و تصریح می‌کند evidence authority جدید نیست.,CHAPTER05_MACHINE_VS_ORIGINAL.md:3؛ CHAPTER05_MACHINE_VS_ORIGINAL.md:5-7,تأییدشده,INSUFFICIENT_METADATA
SRC-dd3eccd4ca376c35,CHAPTER05_REVIEW_README.md,195c549ed15bc83905e0dd384aae300ab23aff1d439adb543230908701b7b6d2,راهنمای بازبینی,بازبینی انسانی فصل ۵,راهنمای دسترسی,غیرواجد,قابل استنتاج از شواهد داخلی,فهرست فایل‌های بازبینی و رابطه کپی‌های دسترسی را توضیح می‌دهد.,CHAPTER05_REVIEW_README.md:1,تأییدشده,INSUFFICIENT_METADATA
SRC-21176d94b62a304c,PROJECT_STATE.md,854a80c37b5098974d7b797eb608d61a4bbca25f36a7e97dc1e4e07f2e95fef1,سند راهبری,راهبری مخزن,نقطه شروع Canonical,غیرواجد,قابل استنتاج از شواهد داخلی,خود فایل canonical starting point و وضعیت FINAL/LOCKED سه لایه را اعلام می‌کند.,PROJECT_STATE.md:1-47,تأییدشده,INSUFFICIENT_METADATA
SRC-b335630551682c19,README.md,606867276324744d2d901750f67550e052ee9d8c6213aa1f6c694e4188f3cad3,مدیریتی,راهبری مخزن,اطلاعات مخزن,غیرواجد,قابل استنتاج از شواهد داخلی,محتوا معرفی کوتاه مخزن یا قاعده نادیده‌گیری داده تولیدی است.,README.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-987e747cb0bb5347,book/01_money_and_me/01_source.docx,95cefc299f2c1bea76073e9a327d718601a4d8f651ae3060c3daa12851c828e5,فایل ماهوی,کتاب/01_money_and_me,نسخه اصلی مکمل,واجد,کافی,قرارداد داخلی آن را original source می‌خواند و نگهداری‌اش را برای منشأ الزامی می‌داند.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,NAME_SIMILAR_CANDIDATE
SRC-e3c7a4eb8e323372,book/01_money_and_me/02_final.docx,3574d4efb367eb4dcfcc3d8bda1847d72ed7dfbdc1f22c5ba2ef6c011fd9830d,فایل ماهوی,کتاب/01_money_and_me,نسخه مرجع پذیرفته‌شده,واجد,کافی,قرارداد داخلی آن را Word نهایی تأییدشده و دارایی انتشار معرفی می‌کند.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,NAME_SIMILAR_CANDIDATE
